Symbol,Security_id
MMM,1
AOS,2
ABT,3
ABBV,4
ACN,5
ATVI,6
AYI,7
ADBE,8
AAP,9
AMD,10
AES,11
AET,12
AMG,13
AFL,14
A,15
APD,16
AKAM,17
ALK,18
ALB,19
ARE,20
ALXN,21
ALGN,22
ALLE,23
AGN,24
ADS,25
LNT,26
ALL,27
GOOGL,28
GOOG,29
MO,30
AMZN,31
AEE,32
AAL,33
AEP,34
AXP,35
AIG,36
AMT,37
AWK,38
AMP,39
ABC,40
AME,41
AMGN,42
APH,43
APC,44
ADI,45
ANDV,46
ANSS,47
ANTM,48
AON,49
APA,50
AIV,51
AAPL,52
AMAT,53
APTV,54
ADM,55
ARNC,56
AJG,57
AIZ,58
T,59
ADSK,60
ADP,61
AZO,62
AVB,63
AVY,64
BHGE,65
BLL,66
BAC,67
BAX,68
BBT,69
BDX,70
BRK.B,71
BBY,72
BIIB,73
BLK,74
HRB,75
BA,76
BKNG,77
BWA,78
BXP,79
BSX,80
BHF,81
BMY,82
AVGO,83
BF.B,84
CHRW,85
CA,86
COG,87
CDNS,88
CPB,89
COF,90
CAH,91
KMX,92
CCL,93
CAT,94
CBOE,95
CBRE,96
CBS,97
CELG,98
CNC,99
CNP,100
CTL,101
CERN,102
CF,103
SCHW,104
CHTR,105
CVX,106
CMG,107
CB,108
CHD,109
CI,110
XEC,111
CINF,112
CTAS,113
CSCO,114
C,115
CFG,116
CTXS,117
CME,118
CMS,119
KO,120
CTSH,121
CL,122
CMCSA,123
CMA,124
CAG,125
CXO,126
COP,127
ED,128
STZ,129
GLW,130
COST,131
COTY,132
CCI,133
CSRA,134
CSX,135
CMI,136
CVS,137
DHI,138
DHR,139
DRI,140
DVA,141
DE,142
DAL,143
XRAY,144
DVN,145
DLR,146
DFS,147
DISCA,148
DISCK,149
DISH,150
DG,151
DLTR,152
D,153
DOV,154
DWDP,155
DPS,156
DTE,157
DUK,158
DRE,159
DXC,160
ETFC,161
EMN,162
ETN,163
EBAY,164
ECL,165
